Password was cracked: GpU13 : GpU13
[ perf record: Woken up 1 times to write data ]
[ perf record: Captured and wrote 0.027 MB perf.data (600 samples) ]

real	0m6.886s
user	0m6.720s
sys	0m7.108s
# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 600  of event 'cycles:u'
# Event count (approx.): 314743689
#
# Overhead  Command          Shared Object       Symbol                                   
# ........  ...............  ..................  .........................................
#
    53.35%  passwordCracker  libnvomp.so         [.] hxiExecuteHostTreeBarrierWithTasks
    12.98%  passwordCracker  libc-2.28.so        [.] __strcmp_avx2
     2.80%  passwordCracker  libnvomp.so         [.] hxiMasterWaitHostTreeBarrierWithTasks
     2.37%  passwordCracker  libnvomp.so         [.] threadPoolEntryPoint
     1.82%  passwordCracker  [unknown]           [k] 0xffffffffa302acaa
     1.58%  passwordCracker  libnvomp.so         [.] hxiMasterWaitHostTreeBarrier
     1.00%  passwordCracker  [unknown]           [k] 0xffffffffa301d181
     0.97%  passwordCracker  libnvomp.so         [.] sched_yield@plt
     0.79%  passwordCracker  [unknown]           [k] 0xffffffffa30f37b7
     0.76%  passwordCracker  [unknown]           [k] 0xffffffffa3a00010
     0.73%  passwordCracker  libc-2.28.so        [.] __sched_yield
     0.72%  passwordCracker  [unknown]           [k] 0xffffffffa3a0001c
     0.67%  passwordCracker  [unknown]           [k] 0xffffffffa30f37c1
     0.60%  passwordCracker  [unknown]           [k] 0xffffffffa3106fc8
     0.56%  passwordCracker  [unknown]           [k] 0xffffffffa30eb000
     0.47%  passwordCracker  passwordCracker     [.] check
     0.43%  passwordCracker  ld-2.28.so          [.] do_lookup_x
     0.42%  passwordCracker  [unknown]           [k] 0xffffffffa30e6bc9
     0.42%  passwordCracker  [unknown]           [k] 0xffffffffa30ead1d
     0.40%  passwordCracker  [unknown]           [k] 0xffffffffa3a00013
     0.38%  passwordCracker  ld-2.28.so          [.] _dl_relocate_object
     0.36%  passwordCracker  [unknown]           [k] 0xffffffffa30ead46
     0.36%  passwordCracker  [unknown]           [k] 0xffffffffa3896380
     0.35%  passwordCracker  [unknown]           [k] 0xffffffffa3027f7b
     0.35%  passwordCracker  [unknown]           [k] 0xffffffffa3a0003b
     0.35%  passwordCracker  [unknown]           [k] 0xffffffffa30e6ac0
     0.34%  passwordCracker  [unknown]           [k] 0xffffffffa301d055
     0.31%  passwordCracker  [unknown]           [k] 0xffffffffa30e724f
     0.29%  passwordCracker  [unknown]           [k] 0xffffffffa30e6b2c
     0.26%  passwordCracker  [unknown]           [k] 0xffffffffa30e797c
     0.21%  passwordCracker  [unknown]           [k] 0xffffffffa32074bd
     0.21%  passwordCracker  [unknown]           [k] 0xffffffffa30e6b16
     0.21%  passwordCracker  [unknown]           [k] 0xffffffffa30e7952
     0.21%  passwordCracker  [unknown]           [k] 0xffffffffa3106fbc
     0.21%  passwordCracker  [unknown]           [k] 0xffffffffa342d983
     0.21%  passwordCracker  [unknown]           [k] 0xffffffffa30e05c0
     0.20%  passwordCracker  [unknown]           [k] 0xffffffffa30e6bec
     0.20%  passwordCracker  [unknown]           [k] 0xffffffffa30eade1
     0.20%  passwordCracker  [unknown]           [k] 0xffffffffa30ead80
     0.20%  passwordCracker  [unknown]           [k] 0xffffffffa320765e
     0.20%  passwordCracker  [unknown]           [k] 0xffffffffa3890b58
     0.20%  passwordCracker  [unknown]           [k] 0xffffffffa38910d4
     0.20%  passwordCracker  [unknown]           [k] 0xffffffffa30e6b28
     0.20%  passwordCracker  [unknown]           [k] 0xffffffffa30e78f9
     0.20%  passwordCracker  [unknown]           [k] 0xffffffffa3a0009f
     0.20%  passwordCracker  [unknown]           [k] 0xffffffffa389118f
     0.20%  passwordCracker  [unknown]           [k] 0xffffffffa30e6b1d
     0.20%  passwordCracker  [unknown]           [k] 0xffffffffa3106f7f
     0.19%  passwordCracker  [unknown]           [k] 0xffffffffa3a000ce
     0.19%  passwordCracker  [unknown]           [k] 0xffffffffa30dcd0e
     0.19%  passwordCracker  [unknown]           [k] 0xffffffffa30e7978
     0.19%  passwordCracker  [unknown]           [k] 0xffffffffa3a000d4
     0.19%  passwordCracker  [unknown]           [k] 0xffffffffa30f37ad
     0.19%  passwordCracker  [unknown]           [k] 0xffffffffa30dea14
     0.19%  passwordCracker  [unknown]           [k] 0xffffffffa30eae5e
     0.19%  passwordCracker  [unknown]           [k] 0xffffffffa30e6bc4
     0.19%  passwordCracker  [unknown]           [k] 0xffffffffa3100940
     0.19%  passwordCracker  libnvomp.so         [.] nvompSchedulerForStaticInit<int>
     0.18%  passwordCracker  [unknown]           [k] 0xffffffffa30ead64
     0.18%  passwordCracker  ld-2.28.so          [.] check_match
     0.18%  passwordCracker  [unknown]           [k] 0xffffffffa30e78f0
     0.18%  passwordCracker  [unknown]           [k] 0xffffffffa30e79d2
     0.18%  passwordCracker  [unknown]           [k] 0xffffffffa3896370
     0.18%  passwordCracker  [unknown]           [k] 0xffffffffa30eba7c
     0.18%  passwordCracker  [unknown]           [k] 0xffffffffa30e6bb0
     0.17%  passwordCracker  [unknown]           [k] 0xffffffffa31a5c72
     0.17%  passwordCracker  [unknown]           [k] 0xffffffffa30ead87
     0.17%  passwordCracker  [unknown]           [k] 0xffffffffa301cf1e
     0.17%  passwordCracker  [unknown]           [k] 0xffffffffa30ebcfe
     0.17%  passwordCracker  [unknown]           [k] 0xffffffffa30ead4f
     0.17%  passwordCracker  [unknown]           [k] 0xffffffffa387706f
     0.17%  passwordCracker  [unknown]           [k] 0xffffffffa3a001a0
     0.17%  passwordCracker  [unknown]           [k] 0xffffffffa30f37d5
     0.17%  passwordCracker  [unknown]           [k] 0xffffffffa30e71f5
     0.17%  passwordCracker  [unknown]           [k] 0xffffffffa30eb064
     0.17%  passwordCracker  [unknown]           [k] 0xffffffffa3a001ec
     0.17%  passwordCracker  [unknown]           [k] 0xffffffffa320759e
     0.17%  passwordCracker  [unknown]           [k] 0xffffffffa3106fb0
     0.17%  passwordCracker  [unknown]           [k] 0xffffffffa3890d51
